folder,psnr,ssim,lpips
04_04_2024_W2_C_Candy2_P_3,10.71503,0.20272,0.92538
04_04_2024_W2_C_Candy_P_3,10.48598,0.2618,0.87064
04_04_2024_W2_C_Cans_P_2,11.26407,0.36136,0.8299
04_04_2024_W2_C_Chips2_P_3,11.7751,0.28161,0.8427
04_04_2024_W2_C_Chips3_P_3,10.5381,0.24952,0.8584
04_04_2024_W2_C_Chips4_P_3,11.39377,0.22835,0.85971
04_04_2024_W2_C_Chips5_P_3,10.45379,0.25589,0.86843
04_04_2024_W2_C_Chips6_P_3,10.67432,0.2063,0.87515
04_04_2024_W2_C_Chips_P_3,10.14815,0.24775,0.86386
04_04_2024_W2_C_Coffee_P_3,9.96441,0.29508,0.87975
04_04_2024_W2_C_Cucumbers1_V_1,10.85738,0.2513,0.8288
04_04_2024_W2_C_Cucumbers2_V_1,10.9009,0.26346,0.82461
04_04_2024_W2_C_Flour_P_3,10.39528,0.30364,0.87664
04_04_2024_W2_C_FruitsLong1_F_1,11.39126,0.21564,0.81942
04_04_2024_W2_C_Gourds1_V_1,10.48906,0.44289,0.79767
04_04_2024_W2_C_Grapefruits1_F_1,12.09016,0.35053,0.76651
04_04_2024_W2_C_Juice_P_2,13.86661,0.25069,0.39694
04_04_2024_W2_C_Juice_P_3,9.94368,0.28774,0.88178
04_04_2024_W2_C_Ketchup_P_3,9.58501,0.21087,0.86595
04_04_2024_W2_C_Lemons1_F_1,13.34753,0.34382,0.74398
04_04_2024_W2_C_Mangoes1_F_1,11.71183,0.3227,0.79497
04_04_2024_W2_C_Mayo_P_2,10.65079,0.30267,0.81577
04_04_2024_W2_C_Melons1_F_1,11.63635,0.36163,0.80757
04_04_2024_W2_C_Oil2_P_3,10.48758,0.27889,0.86802
04_04_2024_W2_C_Oil_P_3,9.92564,0.18907,0.7288
04_04_2024_W2_C_Onions1_V_1,12.18411,0.39089,0.80237
04_04_2024_W2_C_Oranges1_F_1,13.47216,0.37636,0.70671
04_04_2024_W2_C_PastaSauce_P_2,9.98393,0.23697,0.9231
04_04_2024_W2_C_PeanutButter_P_3,10.27288,0.27986,0.87426
04_04_2024_W2_C_Peppers1_F_1,11.82731,0.31153,0.75578
04_04_2024_W2_C_Pickles_P_3,9.95875,0.19042,0.91953
04_04_2024_W2_C_Pineapples1_F_1,11.6326,0.19724,0.82889
04_04_2024_W2_C_Plantains1_F_1,13.09057,0.40906,0.69725
04_04_2024_W2_C_Potatoes1_V_1,12.2075,0.38797,0.80463
04_04_2024_W2_C_Potatoes2_V_1,11.4076,0.34506,0.75953
04_04_2024_W2_C_PotatoesLong1_V_1,10.99325,0.36217,0.7971
04_04_2024_W2_C_PotatoesLong2_V_1,11.3011,0.37522,0.80763
04_04_2024_W2_C_Ranch_P_2,10.69446,0.29134,0.84162
04_04_2024_W2_C_RedOnions1_V_1,11.93049,0.30509,0.71279
04_04_2024_W2_C_Sauce_P_2,10.7978,0.27784,0.79617
04_04_2024_W2_C_SourCream_P_3,9.34006,0.20857,0.8627
04_04_2024_W2_C_Spices_P_2,10.61282,0.27787,0.85537
04_04_2024_W2_C_Tea_P_3,10.39685,0.28583,0.84127
04_04_2024_W2_C_Tomatoes1_F_1,11.44592,0.3107,0.81697
04_04_2024_W2_C_Tomatoes2_F_1,12.17634,0.33151,0.75169
04_04_2024_W_C_Apples1_F_1,12.41402,0.32338,0.75195
04_04_2024_W_C_Apples2_F_1,12.8089,0.35755,0.73318
04_04_2024_W_C_Apples3_F_1,12.95314,0.34931,0.69981
04_04_2024_W_C_Apples4_F_1,11.73107,0.30364,0.82242
04_04_2024_W_C_Avocados1_F_1,11.75303,0.24915,0.75452
04_04_2024_W_C_Beans_P_3,10.44802,0.26164,0.90911
04_04_2024_W_C_Boxes_P_2,9.30514,0.15858,0.69019
04_04_2024_W_C_Bread2_P_2,11.53064,0.30618,0.81484
04_04_2024_W_C_Cabbage1_V_1,11.13436,0.28672,0.79159
04_04_2024_W_C_CakeBatter_P_2,11.42675,0.30287,0.76406
04_04_2024_W_C_CannedPeas_P_3,10.61467,0.22656,0.83845
04_04_2024_W_C_Cans_P_3,9.84523,0.17037,0.89647
04_04_2024_W_C_Chips_P_2,11.70659,0.20921,0.72509
04_04_2024_W_C_Chips_P_3,10.87815,0.22317,0.83104
04_04_2024_W_C_Coffee2_P_2,10.65662,0.24997,0.80912
04_04_2024_W_C_Coffee3_P_2,11.17419,0.35555,0.82932
04_04_2024_W_C_Coffee4_P_2,10.63893,0.2857,0.8164
04_04_2024_W_C_Coffee_P_2,11.72264,0.32645,0.75053
04_04_2024_W_C_Corn1_F_1,11.70403,0.2856,0.83007
04_04_2024_W_C_Cucumbers1_V_1,10.61312,0.22695,0.81683
04_04_2024_W_C_DriedFruits_P_2,11.37672,0.33874,0.77872
04_04_2024_W_C_Drinks_P_2,10.63358,0.29446,0.83677
04_04_2024_W_C_Flour_P_2,12.02072,0.35835,0.76697
04_04_2024_W_C_FruitsLong1_F_1,11.63058,0.3077,0.83799
04_04_2024_W_C_Garlic1_V_1,14.26652,0.39251,0.57067
04_04_2024_W_C_GranolaBars2_P_2,10.6356,0.25644,0.83498
04_04_2024_W_C_GranolaBars3_P_2,11.79379,0.28049,0.78805
