folder,psnr,ssim,lpips
04_04_2024_W2_C_Oil2_P_3,10.60184,0.2627,0.81269
04_18_2024_W2_F_AppleSauce1_P_1,9.23698,0.21517,0.8712
04_19_2024_W_F_Dressings_P_2,11.73505,0.24369,0.75481
04_04_2024_W_C_Pineapples1_F_1,10.98817,0.25312,0.7997
04_04_2024_W_C_CakeBatter_P_2,12.55478,0.29126,0.59377
04_18_2024_W3_F_AppleJuice_P_3,9.6789,0.25979,0.82134
04_04_2024_S_C_Potatoes_V_2,11.59338,0.38509,0.77536
04_04_2024_W2_C_Sauce_P_2,12.66022,0.35241,0.72149
04_04_2024_NG_C_Oats_P_3,10.1129,0.16752,0.84659
04_18_2024_W2_F_Melons1_F_1,16.56945,0.47725,0.48592
04_19_2024_W4_F_Pineapples1_F_1,12.29827,0.35795,0.7939
04_18_2024_W3_F_Cans_P_2,10.24873,0.19341,0.75676
04_04_2024_W2_C_Oranges1_F_1,13.14981,0.41833,0.63205
04_18_2024_W_F_Tomatoes1_F_1,12.53869,0.40655,0.62225
04_18_2024_W2_F_Peppers1_F_1,12.43827,0.3121,0.55369
04_04_2024_W_C_Onions2_V_1,11.84895,0.40494,0.72617
04_04_2024_W2_C_Ranch_P_2,11.3851,0.26764,0.77249
04_04_2024_W_C_Avocados1_F_1,15.19651,0.45634,0.50458
04_19_2024_W4_F_Plantains1_F_1,13.54426,0.4998,0.74293
03_07_2024_S_L_Organic1_F_1,15.18802,0.42839,0.36451
04_19_2024_W4_F_Watermelons1_F_1,13.8847,0.40961,0.63642
04_18_2024_W_F_Ranch_P_2,9.74553,0.26778,0.65162
04_18_2024_W3_F_Salsa1_P_1,11.05972,0.1947,0.81374
04_18_2024_W3_F_Nectarines1_F_1,12.44118,0.31657,0.72594
03_04_2024_S_L_Flowers_F_1,12.56055,0.18962,0.67177
04_18_2024_W_F_Plantains1_F_1,17.1472,0.52297,0.42535
04_04_2024_W_C_Oils2_P_3,10.31273,0.23046,0.78088
04_18_2024_W_F_Bananas1_F_1,14.15571,0.44267,0.53098
04_04_2024_W_C_Bread2_P_2,12.01099,0.24552,0.70576
03_07_2024_S_L_ChipsSalsa1_P_1,null,null,null
04_19_2024_W4_F_Avacados1_F_1,14.91431,0.50071,0.47911
04_19_2024_S2_F_Juice2_P_1,10.63807,0.20522,0.82881
04_18_2024_W_F_Spices1_P_1,9.49247,0.22369,0.83395
04_18_2024_W2_F_Snacks_P_2,9.7479,0.21506,0.79932
04_19_2024_W_F_Pickles_P_2,10.76545,0.22064,0.83074
04_19_2024_W_F_Jelly_P_2,9.1073,0.18456,0.80171
04_18_2024_W_F_Apples2_F_1,13.31564,0.4866,0.56857
04_04_2024_W2_C_Beans_P_3,11.59576,0.23395,0.79905
04_18_2024_W2_F_PastaSauce1_P_1,12.12574,0.25423,0.77929
04_18_2024_W3_F_Grapefruits1_F_1,13.93785,0.42172,0.65392
04_04_2024_W2_C_Cucumbers2_V_1,12.27725,0.32782,0.58185
03_04_2024_S_L_Peppers_V_2,17.39389,0.49028,0.37842
04_18_2024_W2_F_Coffee4_P_3,11.49779,0.35534,0.80618
04_04_2024_W_C_Chips_P_2,12.4531,0.22548,0.51111
04_19_2024_W4_F_Pears1_F_1,11.214,0.29116,0.80669
03_21_2024_W_L_Apples1_F_1,17.2547,0.46766,0.33842
04_19_2024_W4_F_Lemons1_F_1,15.69581,0.56356,0.43075
04_04_2024_W2_C_Pineapples1_F_1,13.04008,0.25778,0.66682
04_18_2024_W_F_Oils_P_2,12.09449,0.24958,0.77809
03_07_2024_S_L_Apples1_F_1,14.38132,0.35362,0.42777
04_04_2024_S_C_Exotic_F_2,11.89291,0.37082,0.74972
04_18_2024_W2_F_Jam1_P_1,9.62901,0.18395,0.82754
03_21_2024_W_L_Candy1_P_1,12.15469,0.3144,0.71628
04_04_2024_W_C_Boxes_P_2,null,null,null
04_18_2024_W2_F_Mangoes1_F_1,13.77128,0.41819,0.6247
04_18_2024_W2_F_Pineapples1_F_1,11.61064,0.19057,0.80462
04_18_2024_W3_F_Nuts_P_2,10.87704,0.19643,0.71127
04_19_2024_W4_F_Gourds1_F_1,16.08652,0.47864,0.60046
04_04_2024_W2_C_AppleJuice_P_3,11.82437,0.24271,0.82934
04_19_2024_W_F_Coffee_P_2,13.69254,0.3183,0.64773
04_18_2024_W_F_Cucumbers1_V_1,11.71626,0.32935,0.68203
04_18_2024_W3_F_Chips3_P_2,10.75123,0.1543,0.72148
04_04_2024_W_C_PastaSauce3_P_2,15.37511,0.48403,0.6662
03_21_2024_W_L_BBQ1_P_1,11.74479,0.26006,0.66497
04_19_2024_S2_F_Greens2_V_1,11.55191,0.1925,0.78579
03_21_2024_W_L_Peas1_P_1,12.50483,0.31655,0.5682
03_04_2024_S_L_VeggiePackages_V_1,13.67468,0.29353,0.41473
04_04_2024_S_C_PeanutButter_P_3,12.58318,0.31668,0.7487
03_21_2024_W_L_Coconuts1_F_1,14.96494,0.38066,0.47444
04_18_2024_W_F_Cans_P_2,11.39119,0.22607,0.79007
04_19_2024_S2_F_Chips3_P_3,11.30962,0.16925,0.78992
04_04_2024_W_C_RedOnions1_V_1,11.95025,0.32314,0.6074
04_04_2024_W2_C_Onions1_V_1,14.90092,0.46144,0.63609
04_04_2024_S_C_Ranch_P_2,9.56224,0.2611,0.82568
04_19_2024_S_F_Greens_V_2,9.40959,0.23682,0.80994
04_04_2024_W2_C_Juice_P_3,11.44997,0.33368,0.80321
04_18_2024_W3_F_Pickles_P_3,10.16923,0.23225,0.8259
04_19_2024_S2_F_Onions2_V_1,13.82398,0.41044,0.57162
04_18_2024_W_F_Apples3_F_1,13.75463,0.41563,0.52128
04_04_2024_W_C_PastaSauce_P_2,15.35922,0.46212,0.51069
03_07_2024_S_L_Various_V_2,14.35997,0.36355,0.40354
04_04_2024_W_C_TomatoCans_P_3,11.20256,0.22786,0.76693
03_04_2024_S_L_ApplesLong_F_1,14.17566,0.34547,0.61537
04_04_2024_W_C_Mayo_P_3,11.18215,0.22594,0.81691
