folder,psnr,ssim,lpips
04_04_2024_S_C_Coffee2_P_3,10.85921,0.25988,0.83339
04_04_2024_S_C_Coffee_P_3,10.58221,0.29448,0.85055
04_04_2024_S_C_Exotic_F_2,11.547,0.38916,0.72362
04_04_2024_S_C_Gourds1_V_1,11.98382,0.42841,0.70118
04_04_2024_S_C_Greens_V_2,12.74973,0.28364,0.70521
04_04_2024_S_C_Ketchup_P_2,11.73553,0.36626,0.74254
04_04_2024_S_C_Lemons1_F_1,12.96724,0.43911,0.68104
04_04_2024_S_C_Mayo_P_2,12.83752,0.39906,0.68941
04_04_2024_S_C_Oil_P_3,9.94854,0.25899,0.81914
04_04_2024_S_C_Oranges1_F_1,16.01622,0.56971,0.58371
04_04_2024_S_C_OrangesLong1_F_1,12.30146,0.45172,0.74221
04_04_2024_S_C_OrangesLong2_F_1,11.10246,0.35115,0.78488
04_04_2024_S_C_PeanutButter_P_3,10.73253,0.27768,0.78814
04_04_2024_S_C_Pears1_F_1,12.64946,0.41585,0.73916
04_04_2024_S_C_Peppers1_F_1,11.15443,0.33864,0.73052
04_04_2024_S_C_Peppers2_F_1,11.02271,0.28264,0.74316
04_04_2024_S_C_Pickles_P_2,10.70255,0.31611,0.7838
04_04_2024_S_C_Potatoes_V_2,11.90113,0.43359,0.68894
04_04_2024_S_C_Ranch_P_2,10.94008,0.26707,0.7413
04_04_2024_S_C_Salsa_P_3,9.7596,0.24212,0.83194
04_04_2024_S_C_Sauce_P_3,10.20435,0.24185,0.82082
04_04_2024_S_C_Sauces_P_2,12.15398,0.28463,0.68998
04_04_2024_S_C_Various2_V_2,12.15984,0.32791,0.72611
04_04_2024_S_C_Various_F_2,11.88126,0.3508,0.72109
04_04_2024_S_C_Various_V_2,11.77127,0.33734,0.78391
04_04_2024_W2_C_Alfredo_P_3,10.31488,0.25181,0.813
04_04_2024_W2_C_AppleJuice_P_3,10.59083,0.28022,0.81732
04_04_2024_W2_C_Apples1_F_1,12.45489,0.35436,0.66491
04_04_2024_W2_C_Apples2_F_1,12.24999,0.32221,0.71916
04_04_2024_W2_C_Apples3_F_1,11.61004,0.25027,0.70073
04_04_2024_W2_C_Apples5_F_1,11.88326,0.30246,0.68896
04_04_2024_W2_C_ApplesLong1_F_1,11.31202,0.34638,0.8093
04_04_2024_W2_C_ApplesLong2_F_1,11.10636,0.27843,0.76289
04_04_2024_W2_C_AvacadosLong1_F_1,11.14736,0.24257,0.74245
04_04_2024_W2_C_Bananas2_F_1,11.80496,0.37713,0.71791
04_04_2024_W2_C_BananasLong1_F_1,11.07157,0.34367,0.78353
04_04_2024_W2_C_Beans_P_3,10.70905,0.29168,0.85282
04_04_2024_W2_C_Bread2_P_2,11.3512,0.25155,0.69931
04_04_2024_W2_C_Bread3_P_2,13.22208,0.30814,0.67446
04_04_2024_W2_C_Bread_P_2,11.62124,0.33848,0.78222
