folder,psnr,ssim,lpips
03_21_2024_W_L_Candy2_P_1,10.93613,0.20803,0.6711
04_18_2024_W3_F_Bagels1_P_1,9.36713,0.08402,0.64356
04_04_2024_S_C_Various_V_2,11.76096,0.1441,0.56922
03_21_2024_W_L_Syrup_P_2,10.331,0.15796,0.55772
04_04_2024_W_C_Oil_P_3,6.5478,0.00387,0.93585
04_19_2024_W_F_Coffee_P_2,11.27028,0.12908,0.57242
04_19_2024_W_F_Spices_P_2,10.49201,0.13242,0.58645
04_18_2024_W_F_Jam_P_3,8.75712,0.0661,0.66273
03_04_2024_S_L_Bananas_F_2,13.08325,0.18263,0.57215
04_18_2024_W2_F_Potatoes1_V_1,12.06637,0.18445,0.53599
04_04_2024_S_C_OrangesLong2_F_1,11.77346,0.19134,0.55682
04_18_2024_W_F_Apples3_F_1,12.63271,0.21211,0.47055
04_19_2024_S2_F_Apples_F_2,11.66504,0.17177,0.55285
04_19_2024_W4_F_Melons1_F_1,11.49029,0.22385,0.59594
04_04_2024_NG_C_Chips_P_2,5.81922,0.00313,0.97136
03_21_2024_W_L_Apples3_F_2,6.15883,0.00505,0.93183
04_18_2024_W2_F_Bread1_P_1,9.72948,0.08452,0.60889
04_19_2024_S2_F_Bananas1_F_1,11.91222,0.12819,0.51874
04_04_2024_NG_C_Gourds1_V_1,13.11979,0.2503,0.50011
04_04_2024_W2_C_Apples3_F_1,12.9859,0.16748,0.48821
04_04_2024_W_C_DriedFruits_P_2,6.13938,0.00208,0.94808
04_18_2024_W_F_Avacados1_F_1,null,null,null
04_04_2024_W2_C_Chips3_P_3,11.50781,0.08877,0.66154
04_18_2024_W_F_Nuts1_P_1,8.99434,0.12242,0.67652
04_04_2024_W2_C_RedOnions1_V_1,12.92341,0.25555,0.44921
04_18_2024_W3_F_Pickles_P_3,8.81084,0.06266,0.64718
04_04_2024_W2_C_Chips2_P_3,null,null,null
04_04_2024_NG_C_Oats_P_3,9.35655,0.07516,0.65097
04_04_2024_W_C_Corn1_F_1,null,null,null
04_04_2024_W_C_Coffee2_P_2,5.78469,0.00422,0.96392
04_04_2024_W_C_Chips_P_3,10.84835,0.09018,0.62522
04_04_2024_NG_C_Broth_P_2,6.29958,0.00334,0.96198
04_18_2024_W3_F_Candy2_P_2,9.42563,0.10058,0.63699
04_04_2024_W_C_PastaSauce3_P_2,16.60955,0.4862,0.42244
04_18_2024_W3_F_Ranch_P_3,9.0826,0.07381,0.61855
04_19_2024_W_F_Sugar_P_2,5.61927,0.00703,0.93322
03_21_2024_W_L_Ranch_P_2,11.27274,0.20859,0.53444
04_18_2024_W2_F_PastaSauce1_P_1,9.23829,0.09743,0.65124
04_04_2024_W_C_Cabbage1_V_1,6.52863,0.00246,0.93466
03_21_2024_W_L_Cheese1_P_1,6.28038,0.0041,0.96583
04_18_2024_W_F_Cans5_P_2,11.71919,0.14452,0.61173
03_04_2024_S_L_Tomatoes_F_2,14.17934,0.23419,0.50158
04_18_2024_W2_F_Cans_P_2,6.03009,0.00496,0.96032
04_04_2024_W_C_Garlic1_V_1,15.25576,0.41291,0.37258
04_19_2024_W_F_Ranch_P_2,9.12997,0.07417,0.61373
04_18_2024_W3_F_Potatoes1_V_1,11.84207,0.16774,0.54039
04_18_2024_W3_F_Nuts_P_2,6.37421,0.01328,0.94675
04_19_2024_W4_F_Plums1_F_1,12.34207,0.18838,0.51993
04_18_2024_W_F_Cans2_P_2,10.81721,0.10444,0.59527
04_04_2024_W_C_Oils2_P_3,9.51946,0.07376,0.62959
04_04_2024_W_C_Chips_P_2,14.11543,0.24496,0.51821
04_18_2024_W_F_Tomatoes2_F_1,11.71595,0.14894,0.57553
04_18_2024_W2_F_Pickles_P_2,9.12366,0.11735,0.81799
04_04_2024_W_C_Melons1_F_1,13.079,0.25994,0.39483
04_19_2024_S2_F_Chips5_P_3,9.40909,0.07435,0.65202
03_13_2024_S_Co_Cabbages_V_2,13.31179,0.32608,0.49815
04_18_2024_W_F_Various2_P_2,11.41341,0.18978,0.84523
04_18_2024_W_F_Cans_P_2,5.84366,0.00417,0.9493
04_04_2024_S_C_Cantaloupe_F_2,12.94185,0.30172,0.57169
04_18_2024_W2_F_Chips3_P_2,10.15938,0.08615,0.59631
04_18_2024_W2_F_OliveOil_P_3,6.20932,0.00343,0.93812
04_04_2024_NG_C_PeanutButter_P_2,10.54004,0.16059,0.66371
04_04_2024_S_C_ApplesLong1_F_1,11.90578,0.20004,0.60851
04_18_2024_W3_F_Oranges1_F_1,12.57117,0.22301,0.54059
04_18_2024_W2_F_Soup_P_3,9.54805,0.08239,0.60406
03_04_2024_S_L_Juices_P_2,15.30823,0.36905,0.45554
04_19_2024_W_F_Bread_P_2,5.91408,0.00532,0.95237
04_18_2024_W2_F_Sugar_P_3,8.95301,0.08901,0.67152
04_18_2024_W3_F_Buns1_P_1,8.9878,0.10785,0.64927
04_04_2024_W2_C_Chips4_P_3,6.86786,0.00169,0.96602
03_07_2024_S_L_ChipsSalsa1_P_1,10.12782,-0.0112,0.44576
04_04_2024_S_C_Greens_V_2,6.97067,0.00654,0.93013
04_18_2024_W2_F_Pineapples1_F_1,12.06137,0.07937,0.57826
03_04_2024_S_L_FruitsLong3_F_1,14.49143,0.2711,0.47463
03_21_2024_W_L_PastaSauce1_P_1,12.92807,0.2334,0.57495
04_04_2024_W_C_Lemons1_F_1,13.88703,0.25783,0.43143
04_18_2024_W2_F_AppleJuice2_P_3,6.05827,0.00213,0.92177
04_18_2024_W2_F_Plantains1_F_1,13.52577,0.28879,0.51958
04_19_2024_W_F_Sauce_P_2,10.84303,0.1026,0.61173
04_04_2024_W2_C_Ranch_P_2,10.73348,0.14115,0.59025
04_04_2024_W_C_Pickles_P_3,9.64143,0.09214,0.66934
04_19_2024_W4_F_Onions2_V_1,null,null,null
04_18_2024_W3_F_Honey_P_2,6.20592,0.00624,0.93844
04_18_2024_W_F_Bananas1_F_1,12.22646,0.16996,0.48867
03_04_2024_S_L_Greens_V_2,14.59695,0.27748,0.54721
04_18_2024_W2_F_Snacks_P_2,10.45803,0.11847,0.60114
04_04_2024_S_C_Salsa_P_3,9.09696,0.08767,0.68662
04_19_2024_S2_F_Sauce1_P_1,8.98854,0.07497,0.66452
04_18_2024_W_F_BBQSauce_P_2,10.00086,0.10743,0.62346
03_04_2024_S_L_Peppers1_V_1,17.63591,0.62596,0.19388
04_04_2024_W_C_Apples1_F_1,null,null,null
04_04_2024_S_C_Pickles_P_2,6.39491,0.00528,0.95045
04_04_2024_S_C_Sauce_P_3,9.3181,0.06692,0.66483
04_18_2024_W_F_Cans4_P_2,10.67005,0.12773,0.64628
04_19_2024_W4_F_Gourds1_F_1,13.77878,0.29314,0.53577
03_21_2024_W_L_Tomatoes_F_2,13.39091,0.22691,0.49082
04_04_2024_W_C_Peppers2_F_1,4.85429,0.00204,0.70629
04_04_2024_W_C_Tomatoes2_F_1,null,null,null
04_19_2024_S2_F_Oil1_P_1,10.51123,0.07441,0.63912
03_21_2024_W_L_Gourds1_F_1,15.28378,0.4421,0.4275
03_21_2024_W_L_Potatoes_V_2,5.72908,0.00391,0.91073
04_18_2024_W2_F_TomatoCans1_P_1,9.52023,0.08269,0.66612
03_07_2024_S_L_GrapeFruits1_F_1,13.1752,0.31451,0.65222
