folder,psnr,ssim,lpips
04_04_2024_W_C_Apples2_F_1,14.39039,0.45711,0.63371
04_04_2024_W_C_Apples3_F_1,14.11621,0.43154,0.6447
04_04_2024_W_C_Apples4_F_1,11.62399,0.32978,0.73566
04_04_2024_W_C_Avocados1_F_1,11.58868,0.29655,0.71198
04_04_2024_W_C_Beans_P_3,5.26962,0.00631,0.98165
04_04_2024_W_C_Boxes_P_2,5.62813,0.01179,1.04634
04_04_2024_W_C_Bread2_P_2,13.84856,0.46291,0.80331
04_04_2024_W_C_Cabbage1_V_1,6.39189,0.00924,1.01897
04_04_2024_W_C_CakeBatter_P_2,12.11104,0.36773,0.7321
04_04_2024_W_C_CannedPeas_P_3,10.33531,0.27704,0.80369
04_04_2024_W_C_Cans_P_3,5.96815,0.02691,1.05344
04_04_2024_W_C_Chips_P_2,13.42553,0.32545,0.63646
04_04_2024_W_C_Chips_P_3,11.00455,0.28085,0.79269
04_04_2024_W_C_Coffee2_P_2,5.6832,0.01005,1.05872
04_04_2024_W_C_Coffee3_P_2,14.66275,0.51294,0.66964
04_04_2024_W_C_Coffee4_P_2,6.21322,0.01505,1.01487
04_04_2024_W_C_Coffee_P_2,6.13529,0.01786,1.04584
04_04_2024_W_C_Corn1_F_1,11.55689,0.33175,0.68224
04_04_2024_W_C_Cucumbers1_V_1,11.16899,0.29749,0.72904
04_04_2024_W_C_DriedFruits_P_2,6.05539,0.00697,1.01752
04_04_2024_W_C_Drinks_P_2,11.33987,0.35432,0.77154
04_04_2024_W_C_Flour_P_2,5.67776,0.00874,1.02613
04_04_2024_W_C_FruitsLong1_F_1,11.74763,0.36066,0.72212
04_04_2024_W_C_Garlic1_V_1,16.00017,0.47736,0.50335
04_04_2024_W_C_GranolaBars2_P_2,10.50838,0.32686,0.81795
04_04_2024_W_C_GranolaBars3_P_2,12.20051,0.33874,0.73699
04_04_2024_W_C_GranolaBars_P_2,5.72265,0.01079,1.03732
04_04_2024_W_C_Greens1_V_1,10.80348,0.26644,0.72467
04_04_2024_W_C_Greens2_V_1,11.67716,0.2476,0.71737
04_04_2024_W_C_Greens3_V_1,12.82341,0.31414,0.63053
04_04_2024_W_C_Ketchup_P_3,9.24939,0.26298,0.8252
04_04_2024_W_C_Lemons1_F_1,13.86887,0.48785,0.70595
04_04_2024_W_C_Limes1_F_1,13.12851,0.35161,0.67153
04_04_2024_W_C_Mangoes1_F_1,12.35887,0.45369,0.69836
04_04_2024_W_C_Mangoes2_F_1,17.31211,0.55594,0.53378
04_04_2024_W_C_Mayo_P_3,9.89399,0.30076,0.82396
04_04_2024_W_C_Melons1_F_1,12.51648,0.44587,0.67167
04_04_2024_W_C_Melons2_F_1,14.55574,0.41555,0.61172
04_04_2024_W_C_Oil_P_3,6.45879,0.01179,1.02812
04_04_2024_W_C_Oils2_P_3,9.83227,0.283,0.80429
04_04_2024_W_C_Onions1_V_1,14.95947,0.5116,0.66505
04_04_2024_W_C_Onions2_V_1,14.60049,0.49404,0.66148
04_04_2024_W_C_Oranges1_F_1,14.054,0.51662,0.67881
04_04_2024_W_C_PastaSauce2_P_2,6.37282,0.0061,1.03511
04_04_2024_W_C_PastaSauce3_P_2,14.4521,0.54701,0.62155
04_04_2024_W_C_PastaSauce4_P_2,6.40357,0.00693,1.03246
04_04_2024_W_C_PastaSauce_P_2,5.52316,0.01366,1.01074
04_04_2024_W_C_Peppers1_F_1,13.22667,0.38923,0.6659
04_04_2024_W_C_Peppers2_F_1,4.69158,0.00443,0.93255
04_04_2024_W_C_Pickles_P_3,9.72647,0.30495,0.84715
