folder,psnr,ssim,lpips
04_18_2024_W3_F_Apples1_F_1,13.01164,0.50357,0.82834
04_04_2024_W2_C_Apples1_F_1,15.41375,0.48136,0.51238
04_19_2024_S2_F_Oil1_P_1,9.55889,0.20415,0.76518
04_18_2024_W3_F_Powerade_P_3,10.09183,0.21136,0.69741
04_18_2024_W3_F_Juice_P_3,8.85095,0.27001,0.81874
03_21_2024_W_L_Nectarines2_F_1,7.01951,0.01007,1.077
04_18_2024_W2_F_Pickles_P_2,5.98964,0.02826,1.05001
04_18_2024_W3_F_Chilli_P_3,10.99472,0.1991,0.67602
04_18_2024_W_F_Snacks_P_3,10.08802,0.20336,0.69577
04_18_2024_W2_F_Radish1_V_1,5.86164,0.00553,1.02531
04_04_2024_W2_C_Oil2_P_3,10.62455,0.26654,0.71033
04_18_2024_W2_F_AppleSauce1_P_1,null,null,null
04_19_2024_W_F_Dressings_P_2,6.02164,0.00703,1.03489
04_04_2024_W_C_Pineapples1_F_1,null,null,null
04_04_2024_W_C_CakeBatter_P_2,5.71152,0.00475,1.03528
04_18_2024_W3_F_AppleJuice_P_3,9.77766,0.24118,0.72362
04_04_2024_S_C_Potatoes_V_2,12.46784,0.39138,0.62233
04_04_2024_W2_C_Sauce_P_2,12.63181,0.3877,0.68589
04_04_2024_NG_C_Oats_P_3,10.27831,0.15635,0.74631
04_18_2024_W2_F_Melons1_F_1,19.19306,0.52634,0.46346
04_19_2024_W4_F_Pineapples1_F_1,15.3312,0.38052,0.56795
04_18_2024_W3_F_Cans_P_2,5.91254,0.02103,1.04583
04_04_2024_W2_C_Oranges1_F_1,14.15647,0.44736,0.59046
04_18_2024_W_F_Tomatoes1_F_1,null,null,null
04_18_2024_W2_F_Peppers1_F_1,12.33029,0.42882,0.89628
04_04_2024_W_C_Onions2_V_1,null,null,null
04_04_2024_W2_C_Ranch_P_2,6.56876,0.02172,1.03559
04_04_2024_W_C_Avocados1_F_1,13.15328,0.357,0.58268
04_19_2024_W4_F_Plantains1_F_1,null,null,null
03_07_2024_S_L_Organic1_F_1,16.17452,0.55392,0.67822
04_19_2024_W4_F_Watermelons1_F_1,16.74632,0.48363,0.47501
04_18_2024_W_F_Ranch_P_2,5.4431,0.00783,1.01022
04_18_2024_W3_F_Salsa1_P_1,null,null,null
04_18_2024_W3_F_Nectarines1_F_1,14.2621,0.48602,0.64896
03_04_2024_S_L_Flowers_F_1,null,null,null
04_18_2024_W_F_Plantains1_F_1,null,null,null
04_04_2024_W_C_Oils2_P_3,9.34784,0.18606,0.69309
04_18_2024_W_F_Bananas1_F_1,12.88495,0.51396,0.96807
04_04_2024_W_C_Bread2_P_2,7.09642,0.01898,0.99802
03_07_2024_S_L_ChipsSalsa1_P_1,null,null,null
04_19_2024_W4_F_Avacados1_F_1,null,null,null
04_19_2024_S2_F_Juice2_P_1,9.86568,0.20716,0.71903
04_18_2024_W_F_Spices1_P_1,10.56643,0.26047,0.6849
04_18_2024_W2_F_Snacks_P_2,12.17903,0.38769,0.96236
04_19_2024_W_F_Pickles_P_2,12.85475,0.38815,0.68402
04_19_2024_W_F_Jelly_P_2,9.25831,0.20281,0.70742
04_18_2024_W_F_Apples2_F_1,5.5788,0.00714,1.0291
04_04_2024_W2_C_Beans_P_3,10.78206,0.19489,0.72065
04_18_2024_W2_F_PastaSauce1_P_1,null,null,null
04_18_2024_W3_F_Grapefruits1_F_1,14.83674,0.53844,0.68112
04_04_2024_W2_C_Cucumbers2_V_1,13.80359,0.40009,0.55861
03_04_2024_S_L_Peppers_V_2,14.26855,0.49314,0.93408
04_18_2024_W2_F_Coffee4_P_3,12.6798,0.43702,0.6781
04_04_2024_W_C_Chips_P_2,12.71419,0.27092,0.69878
04_19_2024_W4_F_Pears1_F_1,12.4703,0.43645,0.77446
03_21_2024_W_L_Apples1_F_1,null,null,null
04_19_2024_W4_F_Lemons1_F_1,null,null,null
04_04_2024_W2_C_Pineapples1_F_1,5.91332,0.00491,0.95071
04_18_2024_W_F_Oils_P_2,11.41788,0.25421,0.67997
03_07_2024_S_L_Apples1_F_1,null,null,null
04_04_2024_S_C_Exotic_F_2,5.92175,0.01079,1.00444
04_18_2024_W2_F_Jam1_P_1,null,null,null
03_21_2024_W_L_Candy1_P_1,6.32278,0.01952,1.05198
04_04_2024_W_C_Boxes_P_2,null,null,null
04_18_2024_W2_F_Mangoes1_F_1,null,null,null
04_18_2024_W2_F_Pineapples1_F_1,5.31358,0.00559,1.05975
04_18_2024_W3_F_Nuts_P_2,6.05338,0.0215,1.01744
04_19_2024_W4_F_Gourds1_F_1,6.05925,0.01692,1.02677
04_04_2024_W2_C_AppleJuice_P_3,10.84272,0.20705,0.76577
04_19_2024_W_F_Coffee_P_2,6.1973,0.00957,1.02466
04_18_2024_W_F_Cucumbers1_V_1,5.95137,0.00975,1.01576
04_18_2024_W3_F_Chips3_P_2,6.46744,0.02472,1.07774
04_04_2024_W_C_PastaSauce3_P_2,19.08286,0.58503,0.47857
03_21_2024_W_L_BBQ1_P_1,6.13692,0.01332,1.02145
04_19_2024_S2_F_Greens2_V_1,12.57023,0.23327,0.62536
03_21_2024_W_L_Peas1_P_1,6.42997,0.01027,1.00259
03_04_2024_S_L_VeggiePackages_V_1,null,null,null
04_04_2024_S_C_PeanutButter_P_3,12.22878,0.35184,0.65204
03_21_2024_W_L_Coconuts1_F_1,19.58257,0.57089,0.43176
04_18_2024_W_F_Cans_P_2,12.82414,0.37821,0.83766
04_19_2024_S2_F_Chips3_P_3,9.10211,0.12477,0.73931
04_04_2024_W_C_RedOnions1_V_1,5.68169,0.0047,1.04612
04_04_2024_W2_C_Onions1_V_1,12.63423,0.03685,0.83689
04_04_2024_S_C_Ranch_P_2,12.72153,0.36346,0.6758
04_19_2024_S_F_Greens_V_2,9.90085,0.2516,0.62094
04_04_2024_W2_C_Juice_P_3,17.50726,0.75417,0.54567
04_18_2024_W3_F_Pickles_P_3,9.66525,0.20564,0.71876
04_19_2024_S2_F_Onions2_V_1,13.56064,0.46842,0.68039
04_18_2024_W_F_Apples3_F_1,13.45853,0.53679,0.75483
04_04_2024_W_C_PastaSauce_P_2,6.14312,0.01692,1.01087
03_07_2024_S_L_Various_V_2,null,null,null
04_04_2024_W_C_TomatoCans_P_3,10.67999,0.24481,0.72417
03_04_2024_S_L_ApplesLong_F_1,6.56269,0.00685,1.04272
04_04_2024_W_C_Mayo_P_3,5.80846,0.00583,1.04152
04_19_2024_W4_F_Tomatoes2_F_1,null,null,null
04_18_2024_W3_F_Apples2_F_1,10.34296,0.24617,0.7031
04_18_2024_W_F_Onions1_V_1,13.14735,0.62534,0.82279
03_04_2024_S_L_EnergyDrinks_P_1,6.68822,0.0062,1.02468
04_04_2024_W2_C_ApplesLong1_F_1,6.32517,0.01928,1.02439
04_04_2024_W2_C_Flour_P_3,5.76349,0.00856,1.03953
04_19_2024_S2_F_Chips4_P_3,11.22095,0.35048,0.69423
04_18_2024_W2_F_BBQSauce_P_3,null,null,null
04_18_2024_W_F_Melons2_F_1,16.0617,0.46055,0.49888
04_18_2024_W_F_Mustard_P_2,null,null,null
04_18_2024_W_F_Tortillas1_P_1,null,null,null
04_04_2024_S_C_Celery1_V_1,5.84996,0.00926,1.02359
04_19_2024_S2_F_Cans_P_2,null,null,null
04_04_2024_S_C_Coffee_P_3,10.45787,0.28862,0.71259
04_18_2024_W_F_Coffee_P_2,5.33224,0.01959,1.05136
04_04_2024_W_C_Lemons1_F_1,6.36181,0.08312,1.01495
03_21_2024_W_L_Pears_F_2,6.04159,0.04571,1.09287
03_04_2024_S_L_Peppers1_V_1,null,null,null
04_19_2024_W_F_Sauce_P_2,6.30387,0.00923,1.04004
04_18_2024_W_F_Corn1_F_1,5.93311,0.01001,1.03892
03_21_2024_W_L_Cereal1_P_1,15.03796,0.38545,0.49931
04_19_2024_W_F_Oils_P_2,null,null,null
04_18_2024_W2_F_Tomatoes1_F_1,null,null,null
04_18_2024_W2_F_Bread1_P_1,9.91711,0.21647,0.66529
04_18_2024_W3_F_Melons1_F_1,12.56664,0.56713,0.82368
04_18_2024_W_F_Mangoes1_F_1,5.53137,0.01341,1.05849
03_07_2024_S_L_Exotic_F_2,6.03697,0.01254,1.04463
04_18_2024_W3_F_EnergyDrink_P_3,10.55222,0.21764,0.73727
04_04_2024_W2_C_Spices_P_2,null,null,null
04_18_2024_W2_F_Dressing_P_2,9.98074,0.3981,0.75656
03_07_2024_S_L_Croutons_P_2,6.38508,0.00646,1.06981
04_04_2024_S_C_Salsa_P_3,6.15218,0.00993,1.01107
04_04_2024_W_C_Apples1_F_1,null,null,null
04_18_2024_W_F_Candy3_P_3,9.44415,0.23465,0.75093
03_07_2024_S_L_Oranges_F_2,6.17863,0.03517,1.07345
04_04_2024_S_C_Various_F_2,null,null,null
04_19_2024_W_F_Sugar_P_2,5.46499,0.00783,1.04506
04_04_2024_W2_C_AvacadosLong1_F_1,null,null,null
04_18_2024_W_F_Salsa_P_3,null,null,null
04_18_2024_W3_F_Sugar2_P_2,10.56067,0.24676,0.68063
04_18_2024_W3_F_TomatoCans1_P_1,9.33995,0.16674,0.73813
04_04_2024_NG_C_Broth_P_2,13.62903,0.45325,0.75219
04_18_2024_W_F_Chips_P_3,9.9018,0.18529,0.69699
03_21_2024_W_L_Jam1_P_1,6.12406,0.0131,1.02686
03_04_2024_S_L_Gatorade_P_2,null,null,null
04_18_2024_W2_F_Melons2_F_1,6.14471,0.01246,1.01573
04_04_2024_W_C_Pickles_P_3,11.45984,0.26376,0.76499
04_18_2024_W2_F_Bagels_P_3,13.66813,0.37278,0.59308
04_04_2024_W2_C_Ketchup_P_3,12.28017,0.29421,0.74558
04_04_2024_W_C_Garlic1_V_1,5.37039,0.00379,1.02229
04_18_2024_W3_F_Oils_P_2,6.12457,0.0226,1.04055
04_19_2024_W4_F_Oranges1_F_1,null,null,null
04_04_2024_W2_C_Oil_P_3,null,null,null
03_04_2024_S_L_ChipsSalsa_P_1,null,null,null
04_04_2024_W2_C_Mayo_P_2,5.66789,0.03043,1.05904
04_18_2024_W3_F_Gatorade_P_3,null,null,null
04_18_2024_W_F_Candy2_P_3,10.19817,0.25479,0.72496
04_18_2024_W_F_Greens2_V_1,7.25228,0.10103,0.96775
04_19_2024_W_F_Ketchup_P_2,10.9774,0.28087,0.69651
04_18_2024_W_F_Sugar_P_3,10.02136,0.24897,0.66222
04_18_2024_W3_F_Candy_P_2,5.77302,0.00901,1.02414
04_19_2024_W4_F_MixedNuts_P_3,10.17704,0.26884,0.7039
04_18_2024_W3_F_Bananas1_F_1,6.00857,0.00461,1.06246
04_18_2024_W_F_Garlic1_V_1,4.84845,0.00591,1.02298
04_19_2024_S2_F_Tomatoes1_F_1,5.93887,0.007,1.04819
04_18_2024_W3_F_Corn1_F_1,null,null,null
04_04_2024_S_C_Pears1_F_1,null,null,null
