folder,psnr,ssim,lpips
04_18_2024_W3_F_Pickles_P_3,9.33496,0.09385,0.83287
04_04_2024_W2_C_Chips2_P_3,11.80494,0.16862,0.76376
04_04_2024_NG_C_Oats_P_3,10.53929,0.119,0.81909
04_04_2024_W_C_Corn1_F_1,11.67685,0.1758,0.70142
04_04_2024_W_C_Coffee2_P_2,10.6132,0.14943,0.69668
04_04_2024_W_C_Chips_P_3,10.96411,0.13985,0.75475
04_04_2024_NG_C_Broth_P_2,10.50206,0.17637,0.8034
04_18_2024_W3_F_Candy2_P_2,9.21304,0.15037,0.80279
04_04_2024_W_C_PastaSauce3_P_2,13.30468,0.34653,0.59018
04_18_2024_W3_F_Ranch_P_3,9.26707,0.12022,0.79005
04_19_2024_W_F_Sugar_P_2,10.60878,0.19578,0.7513
03_21_2024_W_L_Ranch_P_2,10.76757,0.15088,0.63398
04_18_2024_W2_F_PastaSauce1_P_1,9.70396,0.14055,0.79166
04_04_2024_W_C_Cabbage1_V_1,11.35113,0.1943,0.65841
03_21_2024_W_L_Cheese1_P_1,11.85839,0.17594,0.66658
04_18_2024_W_F_Cans5_P_2,10.50664,0.13012,0.70055
03_04_2024_S_L_Tomatoes_F_2,12.41453,0.19653,0.59388
04_18_2024_W2_F_Cans_P_2,10.28427,0.15993,0.73533
04_04_2024_W_C_Garlic1_V_1,14.51857,0.3003,0.38708
04_19_2024_W_F_Ranch_P_2,9.46779,0.12815,0.7684
04_18_2024_W3_F_Potatoes1_V_1,11.90735,0.21237,0.62137
04_18_2024_W3_F_Nuts_P_2,9.32048,0.1106,0.73938
04_19_2024_W4_F_Plums1_F_1,11.50392,0.1653,0.64207
04_18_2024_W_F_Cans2_P_2,10.68178,0.12019,0.72404
04_04_2024_W_C_Oils2_P_3,9.69334,0.12172,0.78655
04_04_2024_W_C_Chips_P_2,11.80711,0.13343,0.5521
04_18_2024_W_F_Tomatoes2_F_1,11.69759,0.17416,0.65797
04_18_2024_W2_F_Pickles_P_2,9.73469,0.11541,0.83885
04_04_2024_W_C_Melons1_F_1,11.1695,0.26025,0.68618
04_19_2024_S2_F_Chips5_P_3,9.79822,0.11824,0.80949
03_13_2024_S_Co_Cabbages_V_2,13.10089,0.30354,0.50943
04_18_2024_W_F_Various2_P_2,10.55261,0.13141,0.90327
04_18_2024_W_F_Cans_P_2,10.15967,0.13425,0.77039
04_04_2024_S_C_Cantaloupe_F_2,12.7635,0.35626,0.67299
04_18_2024_W2_F_Chips3_P_2,9.78502,0.16194,0.78057
04_18_2024_W2_F_OliveOil_P_3,9.50861,0.17379,0.80528
04_04_2024_NG_C_PeanutButter_P_2,10.86814,0.18653,0.74329
04_04_2024_S_C_ApplesLong1_F_1,11.81612,0.28109,0.77552
04_18_2024_W3_F_Oranges1_F_1,11.73297,0.24573,0.75727
04_18_2024_W2_F_Soup_P_3,10.32285,0.10022,0.81393
03_04_2024_S_L_Juices_P_2,12.52299,0.20297,0.59832
04_19_2024_W_F_Bread_P_2,9.85481,0.18045,0.80842
04_18_2024_W2_F_Sugar_P_3,9.95994,0.16252,0.81222
04_18_2024_W3_F_Buns1_P_1,9.65157,0.16429,0.78245
04_04_2024_W2_C_Chips4_P_3,11.10259,0.13102,0.77832
03_07_2024_S_L_ChipsSalsa1_P_1,10.25128,0.07336,0.82352
04_04_2024_S_C_Greens_V_2,11.56412,0.1756,0.67775
04_18_2024_W2_F_Pineapples1_F_1,11.50502,0.09116,0.68731
03_04_2024_S_L_FruitsLong3_F_1,12.8127,0.19239,0.57018
03_21_2024_W_L_PastaSauce1_P_1,10.85919,0.1755,0.66783
04_04_2024_W_C_Lemons1_F_1,12.68104,0.23781,0.59364
04_18_2024_W2_F_AppleJuice2_P_3,9.72097,0.12012,0.7892
04_18_2024_W2_F_Plantains1_F_1,12.211,0.30993,0.72517
04_19_2024_W_F_Sauce_P_2,9.53537,0.11909,0.7478
04_04_2024_W2_C_Ranch_P_2,10.85036,0.17644,0.73672
04_04_2024_W_C_Pickles_P_3,9.81178,0.15501,0.84017
04_19_2024_W4_F_Onions2_V_1,12.03126,0.26476,0.68361
04_18_2024_W3_F_Honey_P_2,9.6139,0.16721,0.7409
04_18_2024_W_F_Bananas1_F_1,11.27735,0.21824,0.66054
03_04_2024_S_L_Greens_V_2,13.1954,0.21972,0.58979
04_18_2024_W2_F_Snacks_P_2,10.06716,0.1439,0.72089
04_04_2024_S_C_Salsa_P_3,9.7089,0.12442,0.82093
04_19_2024_S2_F_Sauce1_P_1,9.41258,0.12382,0.78666
04_18_2024_W_F_BBQSauce_P_2,9.60844,0.14203,0.77199
03_04_2024_S_L_Peppers1_V_1,13.16304,0.20578,0.56786
04_04_2024_W_C_Apples1_F_1,12.38864,0.20814,0.62206
04_04_2024_S_C_Pickles_P_2,10.45782,0.22428,0.8064
04_04_2024_S_C_Sauce_P_3,10.03098,0.12593,0.80373
04_18_2024_W_F_Cans4_P_2,10.54953,0.14037,0.70757
04_19_2024_W4_F_Gourds1_F_1,12.67345,0.30674,0.69334
03_21_2024_W_L_Tomatoes_F_2,12.30918,0.23974,0.58365
04_04_2024_W_C_Peppers2_F_1,11.6068,0.06335,0.85486
04_04_2024_W_C_Tomatoes2_F_1,12.34545,0.22078,0.63744
04_19_2024_S2_F_Oil1_P_1,10.13869,0.13177,0.79365
03_21_2024_W_L_Gourds1_F_1,13.03503,0.37787,0.5707
03_21_2024_W_L_Potatoes_V_2,11.78903,0.2464,0.54799
04_18_2024_W2_F_TomatoCans1_P_1,10.41765,0.10734,0.79541
03_07_2024_S_L_GrapeFruits1_F_1,14.09359,0.31679,0.47004
03_21_2024_W_L_Candy_P_2,11.02149,0.18547,0.6393
04_18_2024_W2_F_Random_P_3,9.7996,0.18741,0.80207
04_04_2024_S_C_Lemons1_F_1,12.33839,0.31308,0.6609
03_07_2024_S_L_Onions_V_2,11.83149,0.24797,0.61331
04_18_2024_W3_F_TomatoCans1_P_1,10.47187,0.12174,0.78489
04_18_2024_W_F_Nectarines1_F_1,12.10742,0.31677,0.76726
04_04_2024_W_C_Greens2_V_1,10.97225,0.14676,0.66835
04_18_2024_W3_F_CanSoup2_P_3,10.38938,0.10581,0.83676
04_18_2024_W_F_GreenPeppers1_F_1,11.90242,0.15661,0.64108
04_04_2024_W_C_Limes1_F_1,12.00707,0.18655,0.60882
04_19_2024_W4_F_Plums2_F_1,10.18253,0.19169,0.73016
04_18_2024_W_F_Candy_P_3,9.99036,0.14464,0.79139
04_18_2024_W2_F_Spices_P_3,9.64972,0.11468,0.79417
03_21_2024_W_L_Nectarines2_F_1,12.93152,0.16938,0.57328
04_18_2024_W2_F_Candy3_P_2,10.03408,0.16033,0.73418
04_18_2024_W_F_Sugar_P_2,11.04688,0.19913,0.72198
04_18_2024_W2_F_Chips5_P_2,9.34702,0.10875,0.73924
04_18_2024_W2_F_Bread2_P_1,10.40387,0.12323,0.74609
04_04_2024_S_C_Chips2_P_2,10.6844,0.14023,0.72182
04_19_2024_S2_F_Jam1_P_1,9.38377,0.10588,0.7829
03_07_2024_S_L_Organic1_F_1,14.14139,0.2194,0.43818
03_21_2024_W_L_EnergyDrinks1_P_1,11.93374,0.23025,0.64727
04_18_2024_W_F_Snacks_P_3,10.25422,0.10943,0.80883
04_19_2024_W4_F_OrganicBananas1_F_1,11.90672,0.19825,0.61268
04_19_2024_W4_F_Random_P_3,10.04983,0.15967,0.79991
04_04_2024_W2_C_Oranges1_F_1,13.47664,0.29036,0.57678
04_19_2024_W4_F_Plantains1_F_1,12.16258,0.28226,0.69139
04_18_2024_W_F_Random_P_3,10.2476,0.14771,0.81041
04_04_2024_S_C_Ranch_P_2,11.21991,0.1883,0.66277
04_19_2024_S2_F_Melons1_F_1,11.79373,0.28209,0.73032
03_21_2024_W_L_Drinks_P_2,11.13838,0.19263,0.61543
04_04_2024_W_C_Bread2_P_2,11.23101,0.20058,0.71501
04_04_2024_S_C_Mayo_P_2,10.38988,0.18394,0.83362
03_21_2024_W_L_Pears_F_2,13.17658,0.28919,0.52519
