folder,psnr,ssim,lpips
04_04_2024_S_C_Pears1_F_1,13.95078,0.59759,0.6373
04_04_2024_S_C_Peppers1_F_1,12.03729,0.42113,0.67841
04_04_2024_S_C_Peppers2_F_1,10.68122,0.33443,0.73822
04_04_2024_S_C_Pickles_P_2,6.30647,0.01706,1.01005
04_04_2024_S_C_Potatoes_V_2,4.98746,0.01066,1.02116
04_04_2024_S_C_Ranch_P_2,11.66748,0.34113,0.70859
04_04_2024_S_C_Salsa_P_3,8.83331,0.26129,0.81953
04_04_2024_S_C_Sauce_P_3,9.39977,0.24595,0.80277
04_04_2024_S_C_Sauces_P_2,10.46049,0.30997,0.78861
04_04_2024_S_C_Various2_V_2,12.99256,0.40287,0.65245
04_04_2024_S_C_Various_F_2,13.18874,0.46838,0.80226
04_04_2024_S_C_Various_V_2,12.31067,0.36369,0.70948
04_04_2024_W2_C_Alfredo_P_3,6.01167,0.0122,1.0452
04_04_2024_W2_C_AppleJuice_P_3,9.60333,0.28666,0.82326
04_04_2024_W2_C_Apples1_F_1,12.31956,0.38356,0.65445
04_04_2024_W2_C_Apples2_F_1,12.74458,0.36735,0.66365
04_04_2024_W2_C_Apples3_F_1,13.07261,0.32869,0.5966
04_04_2024_W2_C_Apples5_F_1,13.47749,0.41827,0.60763
04_04_2024_W2_C_ApplesLong1_F_1,11.98189,0.40307,0.69632
04_04_2024_W2_C_ApplesLong2_F_1,10.99076,0.29297,0.67425
04_04_2024_W2_C_AvacadosLong1_F_1,11.63239,0.29286,0.66557
04_04_2024_W2_C_Bananas2_F_1,13.12913,0.45382,0.66495
04_04_2024_W2_C_BananasLong1_F_1,11.97526,0.42615,0.73769
04_04_2024_W2_C_Beans_P_3,9.76125,0.29588,0.84442
04_04_2024_W2_C_Bread2_P_2,6.3625,0.02091,1.02657
04_04_2024_W2_C_Bread3_P_2,6.39117,0.01511,1.02325
04_04_2024_W2_C_Bread_P_2,11.52284,0.38772,0.73979
04_04_2024_W2_C_Candy2_P_3,10.15171,0.29987,0.85351
04_04_2024_W2_C_Candy_P_3,10.72294,0.35156,0.80965
04_04_2024_W2_C_Cans_P_2,12.27653,0.4258,0.71071
04_04_2024_W2_C_Chips2_P_3,10.76818,0.24043,0.6895
04_04_2024_W2_C_Chips3_P_3,10.97315,0.30387,0.77414
04_04_2024_W2_C_Chips4_P_3,6.76154,0.00984,1.06689
04_04_2024_W2_C_Chips5_P_3,10.15498,0.31075,0.81656
04_04_2024_W2_C_Chips6_P_3,10.28942,0.22978,0.77842
04_04_2024_W2_C_Chips_P_3,6.56144,0.01242,1.03532
04_04_2024_W2_C_Coffee_P_3,11.27201,0.44112,0.79892
04_04_2024_W2_C_Cucumbers1_V_1,10.41351,0.27265,0.75672
04_04_2024_W2_C_Cucumbers2_V_1,11.06095,0.31205,0.69466
04_04_2024_W2_C_Flour_P_3,9.4006,0.31899,0.8467
04_04_2024_W2_C_FruitsLong1_F_1,10.89687,0.23318,0.6922
04_04_2024_W2_C_Gourds1_V_1,12.10236,0.49767,0.67692
04_04_2024_W2_C_Grapefruits1_F_1,13.67922,0.41673,0.64782
04_04_2024_W2_C_Juice_P_2,12.48462,0.16513,0.51657
04_04_2024_W2_C_Juice_P_3,6.72423,0.00943,0.91418
04_04_2024_W2_C_Ketchup_P_3,6.42999,0.02229,1.04509
04_04_2024_W2_C_Lemons1_F_1,14.97595,0.44486,0.62267
04_04_2024_W2_C_Mangoes1_F_1,13.88538,0.42542,0.61982
04_04_2024_W2_C_Mayo_P_2,11.51716,0.39139,0.75062
04_04_2024_W2_C_Melons1_F_1,14.2384,0.43055,0.58939
04_04_2024_W2_C_Oil2_P_3,6.22657,0.00752,1.03763
04_04_2024_W2_C_Oil_P_3,6.23603,0.0065,1.01438
04_04_2024_W2_C_Onions1_V_1,16.54608,0.49633,0.59108
04_04_2024_W2_C_Oranges1_F_1,15.23476,0.53221,0.72944
04_04_2024_W2_C_PastaSauce_P_2,6.43521,0.03546,1.03662
04_04_2024_W2_C_PeanutButter_P_3,10.16509,0.32352,0.78673
04_04_2024_W2_C_Peppers1_F_1,13.05468,0.40413,0.64267
04_04_2024_W2_C_Pickles_P_3,9.66854,0.27812,0.81118
04_04_2024_W2_C_Pineapples1_F_1,12.28113,0.17542,0.55257
04_04_2024_W2_C_Plantains1_F_1,14.33116,0.49697,0.67633
04_04_2024_W2_C_Potatoes1_V_1,13.93138,0.45615,0.74547
04_04_2024_W2_C_Potatoes2_V_1,5.67081,0.01283,1.01615
04_04_2024_W2_C_PotatoesLong1_V_1,11.25807,0.41565,0.78602
04_04_2024_W2_C_PotatoesLong2_V_1,12.97557,0.43402,0.66914
04_04_2024_W2_C_Ranch_P_2,10.72718,0.3477,0.77071
04_04_2024_W2_C_RedOnions1_V_1,13.39172,0.36548,0.56046
04_04_2024_W2_C_Sauce_P_2,12.48999,0.39789,0.75635
04_04_2024_W2_C_SourCream_P_3,8.72227,0.27804,0.87451
04_04_2024_W2_C_Spices_P_2,10.11497,0.34448,0.84588
04_04_2024_W2_C_Tea_P_3,6.96922,0.0092,1.00868
04_04_2024_W2_C_Tomatoes1_F_1,13.81411,0.43595,0.66737
04_04_2024_W2_C_Tomatoes2_F_1,12.04162,0.36466,0.68909
04_04_2024_W_C_Apples1_F_1,6.32221,0.0129,1.07244
04_04_2024_W_C_Apples2_F_1,13.61755,0.43221,0.62351
04_04_2024_W_C_Apples3_F_1,14.18757,0.43402,0.6181
04_04_2024_W_C_Apples4_F_1,12.73505,0.35924,0.65968
04_04_2024_W_C_Avocados1_F_1,13.0058,0.31785,0.59401
04_04_2024_W_C_Beans_P_3,5.26962,0.00631,0.98165
04_04_2024_W_C_Boxes_P_2,5.62813,0.01179,1.04634
04_04_2024_W_C_Bread2_P_2,14.40134,0.45948,0.67815
04_04_2024_W_C_Cabbage1_V_1,14.11443,0.43213,0.7054
04_04_2024_W_C_CakeBatter_P_2,12.34002,0.37384,0.69209
04_04_2024_W_C_CannedPeas_P_3,10.24287,0.2718,0.77673
04_04_2024_W_C_Cans_P_3,5.96815,0.02691,1.05344
04_04_2024_W_C_Chips_P_2,6.92177,0.01044,1.05262
04_04_2024_W_C_Chips_P_3,10.92116,0.26658,0.75077
04_04_2024_W_C_Coffee2_P_2,12.26537,0.35478,0.75926
04_04_2024_W_C_Coffee3_P_2,6.6237,0.0109,1.02107
04_04_2024_W_C_Coffee4_P_2,6.21322,0.01505,1.01487
04_04_2024_W_C_Coffee_P_2,6.13529,0.01786,1.04584
04_04_2024_W_C_Corn1_F_1,11.57095,0.32741,0.65031
04_04_2024_W_C_Cucumbers1_V_1,11.0285,0.29418,0.71987
04_04_2024_W_C_DriedFruits_P_2,6.05539,0.00697,1.01752
04_04_2024_W_C_Drinks_P_2,10.81645,0.33969,0.75713
04_04_2024_W_C_Flour_P_2,5.67776,0.00874,1.02613
04_04_2024_W_C_FruitsLong1_F_1,11.16521,0.33978,0.71264
04_04_2024_W_C_Garlic1_V_1,15.47735,0.4615,0.46491
04_04_2024_W_C_GranolaBars2_P_2,10.35845,0.32439,0.82576
04_04_2024_W_C_GranolaBars3_P_2,11.99886,0.33618,0.73321
04_04_2024_W_C_GranolaBars_P_2,5.72265,0.01079,1.03732
04_04_2024_W_C_Greens1_V_1,10.88092,0.24909,0.66795
04_04_2024_W_C_Greens2_V_1,10.9,0.23547,0.68799
04_04_2024_W_C_Greens3_V_1,13.30097,0.32241,0.5659
04_04_2024_W_C_Ketchup_P_3,9.18153,0.25248,0.80376
